"ticker","nombre_empresa","sector","industria","fecha_consulta","market_cap","enterprise_value"
"A0T.DU","American Tower Corporation","Real Estate","REIT - Industrial",NULL,"87916316400.0",NULL
"A11.AX","Atlantic Lithium Limited","Basic Materials","Industrial Materials",NULL,"83177640.0",NULL
"A1G.AX","African Gold Limited","Basic Materials","Industrial Materials",NULL,"79203300.0",NULL
"A1G.DE","American Airlines Group Inc.","Industrials","Airlines, Airports & Air Services",NULL,"6733617520.0",NULL
"A1M.AX","AIC Mines Limited","Basic Materials","Other Precious Metals",NULL,"189975390.0",NULL
"A1OS.DE","All for One Group SE","Technology","Information Technology Services",NULL,"261912665.0",NULL
"A2A.MI","A2A S.p.A.","Utilities","Diversified Utilities",NULL,"7309079030.0",NULL
"A2B.AX","A2B Australia Limited","Technology","Software - Infrastructure",NULL,"181282475.0",NULL
"A2M.AX","The a2 Milk Company Limited","Consumer Defensive","Packaged Foods",NULL,"5871794090.0",NULL
"A2ZINFRA.BO","A2Z Infra Engineering Limited","Industrials","Engineering & Construction",NULL,"3340996400.0",NULL
"A2ZINFRA.NS","A2Z Infra Engineering Limited","Industrials","Engineering & Construction",NULL,"3298727600.0",NULL
"A3D.AX","Aurora Labs Limited","Industrials","Industrial - Machinery",NULL,"19987100.0",NULL
"A3M.MC","Atresmedia Corporación de Medios de Comunicación, S.A.","Communication Services","Entertainment",NULL,"1355575316.0",NULL
"A4N.AX","Alpha HPA Limited","Basic Materials","Industrial Materials",NULL,"955080000.0",NULL
"A4S.DE","Ameriprise Financial, Inc.","Financial Services","Asset Management",NULL,"29821366200.0",NULL
"A4Y.DE","ACCENTRO Real Estate AG","Real Estate","Real Estate - Services",NULL,"6098325.0",NULL
"A5A.F","American Aires Inc.","Technology","Hardware, Equipment & Parts",NULL,"32759.0",NULL
"A5G.IR","AIB Group plc","Financial Services","Banks - Regional",NULL,"14914654935.0",NULL
"A6T.DE","artec technologies AG","Technology","Consumer Electronics",NULL,"5753364.0",NULL
"A7A.DE","Heliad AG","Financial Services","Asset Management",NULL,"122789942.0",NULL
"A7K.DU","HBI-Hyperion SE","Industrials","Specialty Business Services",NULL,"7125000.0",NULL
"A8G.AX","Australasian Metals Limited","Basic Materials","Gold",NULL,"3994389.0",NULL
"AA","Alcoa Corporation","Basic Materials","Aluminum",NULL,"6930806540.0",NULL
"AA4.L","Amedeo Air Four Plus Limited","Industrials","Rental & Leasing Services",NULL,"149179760.0",NULL
"AAA.AS","AP Alternative Assets LP","Industrials","Consulting Services",NULL,"6106320.0",NULL
"AAAK.AT","Wool Industry Tria Alfa S.A.","Consumer Cyclical","Apparel - Manufacturers",NULL,"7076993.0",NULL
"AAATECH.BO","AAA Technologies Limited","Technology","Information Technology Services",NULL,"1155694680.0",NULL
"AAATECH.NS","AAA Technologies Limited","Technology","Information Technology Services",NULL,"1155309876.0",NULL
"AAB.CO","Aalborg Boldspilklub A/S","Consumer Cyclical","Leisure",NULL,"83494625.0",NULL
"AABPX","American Beacon Balanced Fund","Financial Services","Asset Management",NULL,"101218877.0",NULL
"AAC","Ares Acquisition Corporation","Financial Services","Shell Companies",NULL,"761820462.0",NULL
"AAC-UN","Ares Acquisition Corporation","Financial Services","Shell Companies",NULL,"608548950.0",NULL
"AAC-WT","Ares Acquisition Corporation Re","","",NULL,"761820462.0",NULL
"AAC.AX","Australian Agricultural Company Limited","Consumer Defensive","Agricultural Farm Products",NULL,"834832295.0",NULL
"AACB","Artius II Acquisition Inc. Class A Ordinary Shares","Financial Services","Shell Companies",NULL,"296646010.0",NULL
"AACBR","Artius II Acquisition Inc. Rights","Financial Services","Shell Companies",NULL,"7122520.0",NULL
"AACBU","Artius II Acquisition Inc. Units","Financial Services","Shell Companies",NULL,"259806000.0",NULL
"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","2025-05-31","13914780.0",NULL
"AACI","Armada Acquisition Corp. I","Financial Services","Shell Companies",NULL,"69490103.0",NULL
"AACIU","Armada Acquisition Corp. I","Financial Services","Shell Companies",NULL,"69490102.0",NULL
"AACIW","Armada Acquisition Corp. I","Financial Services","Shell Companies",NULL,"932872.0",NULL
"AACQU","Artius Acquisition Inc.","","",NULL,"1581255000.0",NULL
"AACT","Ares Acquisition Corporation II","Financial Services","Shell Companies",NULL,"711695964.0",NULL
"AACT-UN","Ares Acquisition Corporation II","Financial Services","Shell Companies",NULL,"138904080.0",NULL
"AAD.DE","Amadeus FiRe AG","Industrials","Staffing & Employment Services",NULL,"430770288.0",NULL
"AADBX","American Beacon Balanced Fund R5 Class","Financial Services","Asset Management",NULL,"101080224.0",NULL
"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology",NULL,"94891630.0",NULL
"AADIIND.BO","Aadi Industries Limited","Consumer Cyclical","Packaging & Containers",NULL,"51500000.0",NULL
"AADV.L","Albion Development VCT PLC","Financial Services","Asset Management",NULL,"129080743.0",NULL
"AAEV.L","Albion Enterprise VCT PLC","Financial Services","Asset Management",NULL,"262428795.0",NULL
"AAF.L","Airtel Africa Plc","Communication Services","Telecommunications Services",NULL,"6408697692.0",NULL
"AAG.DE","Aumann AG","Industrials","Industrial - Machinery",NULL,"184766569.0",NULL
"AAGPX","American Beacon Large Cap Value Fund Investor Class","Financial Services","Asset Management",NULL,"3132831467.0",NULL
"AAGRW","African Agriculture Holdings Inc.","Consumer Defensive","Agricultural Farm Products",NULL,"578668.0",NULL
"AAI.AX","Alcoa Corporation","Basic Materials","Aluminum",NULL,"11396866040.0",NULL
"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage",NULL,"137081868.0",NULL
"AAIC-PB","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage",NULL,"137081866.0",NULL
"AAIC-PC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage",NULL,"137081848.0",NULL
"AAIF.L","abrdn Asian Income Fund Limited","Financial Services","Asset Management - Income",NULL,"322669850.0",NULL
"AAIL.BO","Akar Auto Industries Limited","Industrials","Manufacturing - Tools & Accessories",NULL,"1411609800.0",NULL
"AAISX","American Beacon International Equity Fund Advisor Class","Financial Services","Asset Management",NULL,"547987773.0",NULL
"AAJ.AX","Aruma Resources Limited","Basic Materials","Gold",NULL,"2775730.0",NULL
"AAKASH.NS","Aakash Exploration Services Limited","Energy","Oil & Gas Equipment & Services",NULL,"865687500.0",NULL
"AAL","American Airlines Group Inc.","Industrials","Airlines, Airports & Air Services",NULL,"7429402680.0",NULL
"AAL.AX","Alfabs Australia Limited","Industrials","Conglomerates",NULL,"103171680.0",NULL
"AAL.L","Anglo American plc","Basic Materials","Industrial Materials",NULL,"23498840233.0",NULL
"AALB.AS","Aalberts N.V.","Industrials","Industrial - Machinery",NULL,"3509809200.0",NULL
"AALI.JK","PT Astra Agro Lestari Tbk","Consumer Defensive","Agricultural Farm Products",NULL,"11644374500000.0",NULL
"AALLON.HE","Aallon Group Oyj","Industrials","Specialty Business Services",NULL,"43079055.0",NULL
"AAM","AA Mission Acquisition Corp.","Financial Services","Shell Companies",NULL,"456450078.0",NULL
"AAM-PA","Apollo Global Management, Inc.","Financial Services","Asset Management - Global",NULL,"8756114178.0",NULL
"AAM-PB","Apollo Global Management, Inc.","Financial Services","Asset Management - Global",NULL,"8756114178.0",NULL
"AAM-UN","AA Mission Acquisition Corp.","Financial Services","Shell Companies",NULL,"457329434.0",NULL
"AAM.AX","AuMEGA Metals Ltd","Basic Materials","Gold",NULL,"19935729.0",NULL
"AAMC","Altisource Asset Management Corporation","Financial Services","Asset Management",NULL,"3193138.0",NULL
"AAME","Atlantic American Corporation","Financial Services","Insurance - Life",NULL,"34124516.0",NULL
"AAMI","Acadian Asset Management","Financial Services","Asset Management",NULL,"1069205611.0",NULL
"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services",NULL,"318347572.0",NULL
"AANANDALAK.BO","Aananda Lakshmi Spinning Mills Limited","Industrials","Manufacturing - Textiles",NULL,"80448217.0",NULL
"AANCHALISP.BO","Aanchal Ispat Limited","Industrials","Manufacturing - Metal Fabrication",NULL,"105937050.0",NULL
"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors",NULL,"870998137.0",NULL
"AAON","AAON, Inc.","Industrials","Construction",NULL,"7701301365.0",NULL
"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail","2025-05-31","2872234008.0",NULL
"AAP.AX","Australian Agricultural Projects Ltd","Consumer Defensive","Agricultural Farm Products",NULL,"16218576.0",NULL
"AAPG","Ascentage Pharma Group International","Healthcare","Biotechnology",NULL,"2461758677.0",NULL
"AAPL","Apple","Technology","Consumer Electronics","2025-05-29","3010459848000.0",NULL
"AAPL.MX","Apple Inc.","Technology","Consumer Electronics",NULL,"57204114000000.0",NULL
"AAPL.NE","Apple Inc.","Technology","Consumer Electronics",NULL,"4305804456535.0005",NULL
"AAPLUSTRAD.BO","AA Plus Tradelink Limited","Industrials","Industrial - Distribution",NULL,"386764320.0",NULL
"AAQ1.DE","aap Implantate AG","Healthcare","Medical - Devices",NULL,"20026800.0",NULL
"AAR.AX","Astral Resources NL","Basic Materials","Gold",NULL,"277121075.0",NULL
"AARD","Aardvark Therapeutics, Inc. Common Stock","Healthcare","Biotechnology",NULL,"256228815.0",NULL
"AAREYDRUGS.NS","Aarey Drugs & Pharmaceuticals Limited","Healthcare","Drug Manufacturers - Specialty & Generic",NULL,"1524327168.0",NULL
"AARNAV.BO","Aarnav Fashions Ltd.","Financial Services","Investment - Banking & Investment Services",NULL,"1926924932.0",NULL
"AARON.NS","Aaron Industries Limited","Industrials","Industrial - Machinery",NULL,"4141103280.0",NULL
"AARSHYAM.BO","Aar Shyam India Investment Com","Financial Services","Financial - Credit Services",NULL,"28230000.0",NULL
"AARTECH.BO","Aartech Solonics Limited","Industrials","Electrical Equipment & Parts",NULL,"2350056488.0",NULL
"AARTECH.NS","Aartech Solonics Limited","Industrials","Electrical Equipment & Parts",NULL,"2323687056.0",NULL
"AARTIDRUGS.BO","Aarti Drugs Limited","Healthcare","Drug Manufacturers - Specialty & Generic",NULL,"43097694000.0",NULL
"AARTIDRUGS.NS","Aarti Drugs Limited","Healthcare","Drug Manufacturers - Specialty & Generic",NULL,"43134202000.0",NULL
"AARTIIND.BO","Aarti Industries Limited","Basic Materials","Chemicals - Specialty",NULL,"173248308000.0",NULL
"AARTIIND.NS","Aarti Industries Limited","Basic Materials","Chemicals - Specialty",NULL,"173357064000.0",NULL
"AARTIPHARM.BO","Aarti Pharmalabs Limited","Healthcare","Drug Manufacturers - Specialty & Generic",NULL,"83139136926.0",NULL
"AARTIPHARM.NS","Aarti Pharmalabs Limited","Healthcare","Drug Manufacturers - Specialty & Generic",NULL,"83098351347.0",NULL
"AARTISURF.BO","Aarti Surfactants Limited","Basic Materials","Chemicals - Specialty",NULL,"4990509100.0",NULL
"AARTISURF.NS","Aarti Surfactants Limited","Basic Materials","Chemicals - Specialty",NULL,"4973169196.0",NULL
"AARVEEDEN.BO","Aarvee Denims and Exports Ltd.","Consumer Cyclical","Apparel - Manufacturers",NULL,"3710167370.0",NULL
"AARVEEDEN.NS","Aarvee Denims and Exports Ltd.","Consumer Cyclical","Apparel - Manufacturers",NULL,"3698437470.0",NULL
"AARVI.NS","Aarvi Encon Limited","Industrials","Staffing & Employment Services",NULL,"1674435840.0",NULL
"AAS.L","abrdn Asia Focus plc","Financial Services","Asset Management",NULL,"473601170.0",NULL
"AASHKA.BO","Aashka Hospitals Limited","Healthcare","Medical - Care Facilities",NULL,"2310750000.0",NULL
"AASTAFIN.BO","Aastamangalam Finance Limited","Financial Services","Financial - Credit Services",NULL,"508846575.0",NULL
"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified",NULL,"1235532287.0",NULL
"AATG.L","Albion Technology & General VCT PLC","Financial Services","Asset Management",NULL,"128781225.0",NULL
"AAU","Almaden Minerals Ltd.","Basic Materials","Gold",NULL,"20102875.0",NULL
"AAU.AX","Antilles Gold Limited","Basic Materials","Gold",NULL,"11556850.0",NULL
"AAU.L","Ariana Resources plc","Basic Materials","Gold",NULL,"21529246.0",NULL
"AAVAS.BO","Aavas Financiers Limited","Financial Services","Financial - Mortgages",NULL,"145830756870.0",NULL
"AAVAS.NS","Aavas Financiers Limited","Financial Services","Financial - Mortgages",NULL,"145909913770.0",NULL
"AAVC.L","Albion Venture Capital Trust PLC","Financial Services","Asset Management",NULL,"53664400.0",NULL
"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airlines, Airports & Air Services",NULL,"2934330336.0",NULL
"AAYUSH.BO","Aayush Food and Herbs Limited","Consumer Cyclical","Specialty Retail",NULL,"7646324070.0",NULL
"AAZ.L","Anglo Asian Mining PLC","Basic Materials","Gold",NULL,"192680557.0",NULL
"AB","AllianceBernstein Holding L.P.","Financial Services","Asset Management",NULL,"4460498000.0",NULL
"AB9.DE","ABO Wind AG","Industrials","Engineering & Construction",NULL,"339328752.0",NULL
"ABA.AX","Auswide Bank Ltd","Financial Services","Banks - Regional",NULL,"264701577.0",NULL
"ABA.F","ALBA SE","Industrials","Waste Management",NULL,"76260000.0",NULL
"ABALX","American Funds American Balanced Fund Class A","Financial Services","Asset Management","2025-06-01","232267988960.0",NULL
"ABAN.BO","Aban Offshore Limited","Energy","Oil & Gas Drilling",NULL,"3256200087.0",NULL
"ABAN.NS","Aban Offshore Limited","Energy","Oil & Gas Drilling",NULL,"3251530863.0",NULL
"ABANSENT.BO","ABans Enterprises Limited","Industrials","Industrial - Distribution",NULL,"2303108678.0",NULL
"ABAT","American Battery Technology Company Common Stock","Basic Materials","Industrial Materials",NULL,"120371184.0",NULL
"ABB","ABB Ltd","Industrials","Electrical Equipment & Parts",NULL,"69020585106.0",NULL
"ABB.AX","Aussie Broadband Limited","Communication Services","Telecommunications Services",NULL,"1172598910.0",NULL
"ABB.BO","ABB India Limited","Industrials","Industrial - Machinery",NULL,"1287923847000.0",NULL
"ABB.NS","ABB India Limited","Industrials","Industrial - Machinery",NULL,"1287764916000.0",NULL
"ABBA.JK","PT Mahaka Media Tbk","Communication Services","Publishing",NULL,"153499710000.0",NULL
"ABBOTINDIA.BO","Abbott India Limited","Healthcare","Drug Manufacturers - General",NULL,"671967676365.0",NULL
"ABBOTINDIA.NS","Abbott India Limited","Healthcare","Drug Manufacturers - General",NULL,"672221605500.0",NULL
"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General",NULL,"339104640000.0",NULL
"ABBV.BA","AbbVie Inc.","Healthcare","Drug Manufacturers - General",NULL,"40406400000000.0",NULL
"ABC","AmerisourceBergen Corporation","Healthcare","Medical - Distribution",NULL,"36149702920.0",NULL
"ABC.AX","Adbri Limited","Basic Materials","Construction Materials",NULL,"2092494960.0",NULL
"ABCAPITAL.BO","Aditya Birla Capital Limited","Financial Services","Financial - Conglomerates",NULL,"642481025000.0",NULL
"ABCAPITAL.NS","Aditya Birla Capital Limited","Financial Services","Financial - Conglomerates",NULL,"642481025000.0",NULL
"ABCB","Ameris Bancorp","Financial Services","Banks - Regional",NULL,"4228028024.0",NULL
"ABCGAS.BO","ABC Gas (International) Limited","Industrials","Industrial - Machinery",NULL,"220176000.0",NULL
"ABCINDQ.BO","ABC India Limited","Industrials","Airlines, Airports & Air Services",NULL,"455968249.0",NULL
"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology",NULL,"728303400.0",NULL
"ABCM","Abcam plc","Healthcare","Biotechnology",NULL,"5521322682.0",NULL
"ABCT.TO","ABC Technologies Holdings Inc.","Consumer Cyclical","Auto - Parts","2025-05-31","779615800.0",NULL
"ABCVX","American Beacon The London Company Income Equity Fund Investor Class","Financial Services","Asset Management - Income",NULL,"1100642932.0",NULL
"ABD.L","abrdn New Dawn Investment Trust plc","Financial Services","Asset Management",NULL,"235957551.0",NULL
"ABDA.JK","PT Asuransi Bina Dana Arta Tbk","Financial Services","Insurance - Property & Casualty",NULL,"2110743800000.0",NULL
"ABDN.L","abrdn plc","Financial Services","Asset Management",NULL,"3475290510.0",NULL
"ABDP.L","AB Dynamics plc","Consumer Cyclical","Auto - Parts",NULL,"403999200.0",NULL
"ABDX.L","Abingdon Health Plc","Healthcare","Medical - Diagnostics & Research",NULL,"12586015.0",NULL
"ABE.AX","Australian Bond Exchange Holdings Limited","Financial Services","Financial - Capital Markets",NULL,"4091880.0",NULL
"ABEA.DE","Alphabet Inc.","Communication Services","Internet Content & Information",NULL,"1865387166947.0",NULL
"ABEA.F","Alphabet Inc.","Communication Services","Internet Content & Information",NULL,"1865626841515.0",NULL
"ABEC.DE","Alphabet Inc.","Communication Services","Internet Content & Information",NULL,"1889662262420.0",NULL
"ABEC.F","Alphabet Inc.","Communication Services","Internet Content & Information",NULL,"1860038031874.0",NULL
"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology",NULL,"344796158.0",NULL
"ABEO.PA","Abéo SA","Consumer Cyclical","Leisure","2025-06-01","63020550.0",NULL
"ABEV","Ambev S.A.","Consumer Defensive","Beverages - Alcoholic","2025-05-31","38289454651.0",NULL
"ABF.L","Associated British Foods plc","Consumer Defensive","Packaged Foods",NULL,"14599594511.0",NULL
"ABFRL.BO","Aditya Birla Fashion and Retail Limited","Consumer Cyclical","Apparel - Manufacturers",NULL,"94022737292.0",NULL
"ABFRL.NS","Aditya Birla Fashion and Retail Limited","Consumer Cyclical","Apparel - Manufacturers",NULL,"94022737292.0",NULL
"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto - Dealerships","2025-05-31","4480528272.0",NULL
"ABG.AX","Abacus Property Group","Real Estate","REIT - Diversified",NULL,"1090262760.0",NULL
"ABG.JO","Absa Group Limited","Financial Services","Banks - Regional",NULL,"146109120060.0",NULL
"ABGI","ABG Acquisition Corp. I","Financial Services","Shell Companies",NULL,"196999184.0",NULL
"ABHICAP.BO","Abhinav Capital Services Limited","Financial Services","Financial - Credit Services",NULL,"830952000.0",NULL
"ABHIFIN.BO","Abhishek Finlease Limited","Financial Services","Investment - Banking & Investment Services",NULL,"327594664.0",NULL
"ABHIINFRA.BO","Abhishek Infraventures Limited","Industrials","Engineering & Construction",NULL,"34282710.0",NULL
"ABHYX","American Century High-Yield Municipal Fund Investor Class","Financial Services","Asset Management",NULL,"575905091.0",NULL
"ABI.BR","Anheuser-Busch InBev SA/NV","Consumer Defensive","Beverages - Alcoholic",NULL,"122520519130.0",NULL
"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology",NULL,"34817184.0",NULL
"ABIRAFN.BO","Abirami Financial Services (India) Limited","Financial Services","Financial - Credit Services",NULL,"252990000.0",NULL
"ABL","Abacus Life, Inc.","Financial Services","Insurance - Life",NULL,"729553132.0",NULL
"ABL.DE","Abbott Laboratories","Healthcare","Medical - Devices",NULL,"203700467200.0",NULL
"ABLLL","Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028","Financial Services","Insurance - Life",NULL,"735639356.0",NULL
"ABLLW","Abacus Life, Inc.","Financial Services","Insurance - Life",NULL,"642542116.0",NULL
"ABLV","Able View Inc.","Communication Services","Advertising Agencies",NULL,"61243505.0",NULL
"ABLVW","Able View Inc.","Communication Services","Advertising Agencies",NULL,"865005.0",NULL
"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services",NULL,"3263725773.0",NULL
"ABMD","Abiomed, Inc.","Healthcare","Medical - Devices",NULL,"17180649405.0",NULL
"ABMINTLLTD.NS","ABM International Limited","Basic Materials","Chemicals - Specialty",NULL,"471434880.0",NULL
"ABMKNO.BO","ABM Knowledgeware Limited","Technology","Software - Application",NULL,"3267359370.0",NULL
"ABMM.JK","PT ABM Investama Tbk","Energy","Coal",NULL,"8782612300000.0",NULL
"ABN.AS","ABN AMRO Bank N.V.","Financial Services","Banks - Diversified",NULL,"18885210991.0",NULL
"ABNB","Airbnb, Inc.","Consumer Cyclical","Travel Services","2025-05-31","80807246814.0",NULL
"ABO.BR","ABO-Group Environment NV","Industrials","Waste Management",NULL,"64469070.0",NULL
"ABO.DE","clearvise AG","Utilities","Renewable Utilities",NULL,"125090130.0",NULL
"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology",NULL,"72688080.0",NULL
"ABP","Abpro Corporation","Healthcare","Biotechnology",NULL,"12783569.0",NULL
"ABP.AX","Abacus Property Group","Real Estate","REIT - Diversified",NULL,"1081326161.0",NULL
"ABPWW","Abpro Holdings Inc","Healthcare","Biotechnology",NULL,"12990602.0",NULL
"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",NULL,"1815912000.0",NULL
"ABR-PD","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",NULL,"3268641600.0",NULL
"ABR-PE","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",NULL,"3237896000.0",NULL
"ABR-PF","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage",NULL,"3916220800.0",NULL
"ABR.DE","Barrick Gold Corporation","Basic Materials","Gold",NULL,"29220502696.0",NULL
"ABRD.ME","Public Joint Stock Company Abrau-Durso","Consumer Defensive","Beverages - Wineries & Distilleries",NULL,"18502437760.0",NULL
"ABRT.CN","Albert Labs International Corp.","Healthcare","Biotechnology",NULL,"372067.0",NULL
"ABS2.DE","PORR AG","Industrials","Engineering & Construction",NULL,"1089664154.0",NULL
"ABSI","Absci Corporation","Healthcare","Biotechnology",NULL,"386503770.0",NULL
"ABSLAMC.BO","Aditya Birla Sun Life AMC Limited","Financial Services","Asset Management",NULL,"226276361640.0",NULL
"ABSLAMC.NS","Aditya Birla Sun Life AMC Limited","Financial Services","Asset Management",NULL,"226016671860.0",NULL
"ABST","Absolute Software Corporation","Technology","Software - Application",NULL,"610809526.0",NULL
"ABT","Abbott Laboratories","Healthcare","Medical - Devices","2025-06-02","232407827200.0",NULL
"ABT.DU","Advanced Bitcoin Technologies AG","Technology","Software - Infrastructure",NULL,"2054668.0",NULL
"ABT.MI","Abitare In S.p.A.","Real Estate","Real Estate - Development",NULL,"83841395.0",NULL
"ABTG.MI","Alfio Bardolla Training Group S.p.A.","Consumer Defensive","Education & Training Services",NULL,"10328422.0",NULL
"ABTS","Abits Group Inc.","Financial Services","Financial - Capital Markets",NULL,"9433834.0",NULL
"ABUS","Arbutus Biopharma Corporation","Healthcare","Biotechnology",NULL,"666513960.0",NULL
"ABV.AX","Advanced Braking Technology Limited","Consumer Cyclical","Auto - Parts",NULL,"33495696.0",NULL
"ABVC","ABVC BioPharma, Inc.","Healthcare","Biotechnology",NULL,"26151664.0",NULL
"ABVE","Above Food Ingredients Inc. Common Stock","Consumer Defensive","Packaged Foods","2025-05-31","58870624.0",NULL
"ABVEW","Above Food Ingredients Inc. Warrants","Consumer Defensive","Packaged Foods",NULL,"2200278.0",NULL
"ABVL.BO","Arunjyoti Bio Ventures Limited","Financial Services","Financial - Conglomerates",NULL,"1297211760.0",NULL
"ABVX","ABIVAX SA","Healthcare","Biotechnology",NULL,"519544910.0",NULL
"ABX.AX","ABx Group Limited","Basic Materials","Aluminum",NULL,"10790119.0",NULL
"ABX.DE","Advanced Blockchain AG","Technology","Software - Application",NULL,"8773252.0",NULL
"ABXX.NE","Abaxx Technologies Inc.","Technology","Software - Application",NULL,"380963205.0",NULL
"ABY.AX","Adore Beauty Group Limited","Consumer Cyclical","Specialty Retail",NULL,"61542425.0",NULL
"AC","Associated Capital Group, Inc.","Financial Services","Financial - Capital Markets",NULL,"803247990.0",NULL
"AC.MX","Arca Continental, S.A.B. de C.V.","Consumer Defensive","Beverages - Non-Alcoholic",NULL,"351062448100.0",NULL
"AC.PA","Accor SA","Consumer Cyclical","Travel Lodging","2025-05-31","10988296341.0",NULL
"AC8.AX","AusCann Group Holdings Ltd","Healthcare","Drug Manufacturers - Specialty & Generic",NULL,"17621880.0",NULL
"AC8.L","Acceler8 Ventures Plc","Financial Services","Shell Companies",NULL,"750000.0",NULL
"ACA","Arcosa, Inc.","Industrials","Industrial - Infrastructure Operations",NULL,"4185980575.0",NULL
"ACA.PA","Crédit Agricole S.A.","Financial Services","Banks - Regional","2025-06-01","48470456911.0",NULL
"ACAB","Atlantic Coastal Acquisition Corp. II","Financial Services","Shell Companies",NULL,"46398128.0",NULL
"ACABU","Atlantic Coastal Acquisition Corp. II","Financial Services","Shell Companies",NULL,"46398123.0",NULL
"ACABW","Atlantic Coastal Acquisition Corp. II","Financial Services","Shell Companies",NULL,"375580.0",NULL
"ACAC","Acri Capital Acquisition Corporation","Financial Services","Shell Companies",NULL,"44482256.0",NULL
"ACACU","Acri Capital Acquisition Corporation","Financial Services","Shell Companies",NULL,"44482246.0",NULL
"ACACW","Acri Capital Acquisition Corporation","Financial Services","Shell Companies",NULL,"44482256.0",NULL
"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology",NULL,"3678616760.0",NULL
"ACAD.ST","AcadeMedia AB (publ)","Consumer Defensive","Education & Training Services",NULL,"8315202000.0",NULL
"ACAH","Atlantic Coastal Acquisition Corp.","Financial Services","Shell Companies",NULL,"127046920.0",NULL
"ACAHU","Atlantic Coastal Acquisition Corp.","Financial Services","Shell Companies",NULL,"127046914.0",NULL
"ACAHW","Atlantic Coastal Acquisition Corp.","Financial Services","Shell Companies",NULL,"195077.0",NULL
"ACAQ","Athena Consumer Acquisition Corp.","Financial Services","Shell Companies",NULL,"25694562.0",NULL
"ACAQ-UN","Athena Consumer Acquisition Corp.","Financial Services","Shell Companies",NULL,"74265503.0",NULL
"ACAQ-WT","Athena Consumer Acquisition Corp.","Financial Services","Shell Companies",NULL,"13757461.0",NULL
